Californian,2
Turkish,65
Creole/Cajun,3
Chinese/Japanese,61
English,16
Bangladeshi,35
Continental,64
Brazilian,28
Australian,14
Pakistani,34
Creole,31
Czech,3
Cajun,7
Steak,86
Hawaiian,4
Egyptian,14
Iranian,3
Chinese/Cuban,21
Armenian,37
Polynesian,2
Soups,3
Russian,82
Afghan,12
Hotdogs/Pretzels,22
Hotdogs,28
Chilean,5
Fruits/Vegetables,8
Filipino,25
Eastern European,75
Pancakes/Waffles,20
Tapas,34
Indonesian,8
Not Listed/Not Applicable,13
Vietnamese/Cambodian/Malaysia,75
African,73
Soups & Sandwiches,53
Barbecue,53
Portuguese,8
German,34
Ethiopian,15
Nuts/Confectionary,5
Moroccan,11
Peruvian,71
Southwestern,7
"Bottled beverages, including water, sodas, juices, etc.",78
Polish,26
Salads,55
Soul Food,47
Scandinavian,5
